gvkey,datadate,fyearq,erc_ng2,cik,fyear,ngdum,ngeps
001045,20081231,2008,-1.136969352,6201,2008,1,-0.77
001045,20091231,2009,-1.832966236,6201,2009,1,-1.25
001045,20101231,2010,-2.502165365,6201,2010,1,-0.21
001045,20181231,2018,-0.344098236,6201,2018,1,1.04
001045,20191231,2019,-2.649031581,6201,2019,0,
001050,20151231,2015,1.9451267122,3197,2015,1,0.18
001050,20161231,2016,6.2194866634,3197,2016,1,0.35
001050,20171231,2017,12.756684531,3197,2017,1,-0.05
001050,20181231,2018,13.368132948,3197,2018,1,0.08
001050,20191231,2019,13.922873831,3197,2019,1,0.27
001076,20151231,2015,-7.085225823,1808834,2015,1,0.41
001076,20171231,2017,19.072421728,1808834,2017,1,0.65
001076,20181231,2018,11.100638847,1808834,2018,1,1.02
001076,20191231,2019,8.9818860198,1808834,2019,1,1.15
001078,20091231,2009,16.428368346,1800,2009,1,1.18
001078,20101231,2010,36.952860377,1800,2010,1,1.3
001078,20111231,2011,17.675219873,1800,2011,1,1.45
001078,20121231,2012,1.5521708964,1800,2012,1,1.51
001078,20131231,2013,-263.9246836,1800,2013,1,0.58
001094,20170630,2017,36.929973871,2034,2017,1,0.27
001094,20180630,2018,22.094181414,2034,2018,1,-0.48
001161,20121231,2012,7.4254795445,2488,2012,1,-0.14
001161,20141231,2014,9.2055229888,2488,2014,1,0
001161,20151231,2015,9.9563764821,2488,2015,1,-0.1
001161,20161231,2016,10.111896774,2488,2016,1,-0.01
001161,20171231,2017,10.597978751,2488,2017,1,0.08
001161,20191231,2019,-3.562505087,2488,2019,1,0.32
001177,20081231,2008,4.4838680508,1122304,2008,1,0.96
001177,20091231,2009,4.6217299073,1122304,2009,1,0.4
001177,20101231,2010,5.6148301062,1122304,2010,1,0.63
001177,20111231,2011,6.5938461428,1122304,2011,1,0.97
001177,20121231,2012,8.3352232372,1122304,2012,1,0.94
001177,20131231,2013,5.0426854296,1122304,2013,1,1.34
001177,20141231,2014,1.5731542122,1122304,2014,1,1.22
001177,20151231,2015,7.1702166224,1122304,2015,1,1.37
001177,20161231,2016,19.497213744,1122304,2016,1,1.63
001177,20171231,2017,7.6865006035,1122304,2017,1,1.25
001230,20081231,2008,1.6871907433,766421,2008,1,0.45
001230,20091231,2009,1.5882751718,766421,2009,1,0.12
001230,20101231,2010,1.1553163183,766421,2010,1,1.28
001230,20111231,2011,1.6744852603,766421,2011,1,1.02
001230,20121231,2012,1.5326117907,766421,2012,1,0.7
001230,20131231,2013,1.9521723209,766421,2013,1,1.1
001230,20141231,2014,-2.089166882,766421,2014,1,0.94
001230,20151231,2015,1.6299013551,766421,2015,1,1.46
001230,20161231,2016,2.0372307947,766421,2016,1,1.56
001230,20171231,2017,7.4535483859,766421,2017,1,0.83
001230,20181231,2018,191.52156966,766421,2018,1,0.75
001279,20101231,2010,15.526512674,3673,2010,1,0.62
001300,20191231,2019,-59.23906196,773840,2019,1,2.06
001327,20080930,2008,75.492008274,4127,2008,1,0.21
001327,20090930,2009,105.1572807,4127,2009,1,0.24
001327,20100930,2010,77.146749325,4127,2010,1,0.43
001327,20110930,2011,89.150553651,4127,2011,1,0.54
001327,20120930,2012,65.054824495,4127,2012,1,0.53
001327,20130930,2013,216.68799282,4127,2013,1,0.64
001327,20140930,2014,13.638448386,4127,2014,1,1.12
001327,20150930,2015,63.611746182,4127,2015,1,1.52
001327,20160930,2016,369.8741648,4127,2016,1,1.47
001327,20170930,2017,315.08049086,4127,2017,1,1.82
001327,20180930,2018,195.57586014,4127,2018,1,1.94
001327,20190930,2019,57.266413567,4127,2019,1,1.52
001327,20200930,2020,-52.68138735,4127,2020,1,1.85
001380,20191231,2019,-3.776113552,4447,2019,1,-0.6
001382,20091231,2009,0.387920594,701345,2009,1,-0.2
001382,20101231,2010,4.1124061838,701345,2010,0,
001382,20111231,2011,3.4366094967,701345,2011,1,0.13
001382,20121231,2012,3.1972548465,701345,2012,1,0.26
001408,20081231,2008,24.673213951,789073,2008,1,0.68
001408,20091231,2009,5.8881972162,789073,2009,1,0.66
001408,20101231,2010,-2.445433223,789073,2010,1,0.63
001410,20111031,2011,6.9911862729,771497,2011,1,0.37
001410,20121031,2012,0.5706667224,771497,2012,0,
001410,20131031,2013,10.820366064,771497,2013,1,0.48
001410,20141031,2014,27.478621303,771497,2014,1,0.52
001414,20151231,2015,-3.090509008,1475922,2015,1,1.01
001414,20161231,2016,-0.048645402,1475922,2016,1,1.19
001414,20171231,2017,-0.266581863,1475922,2017,1,1.6
001414,20181231,2018,-3.315538601,1475922,2018,1,2.01
001414,20191231,2019,15.691389857,1475922,2019,1,2.22
001439,20141231,2014,20.97426314,1783400,2014,1,0.42
001439,20161231,2016,2.424226755,1783400,2016,0,
001439,20171231,2017,12.107844416,1783400,2017,1,0.73
001439,20181231,2018,24.316567233,1783400,2018,1,0.65
001440,20101231,2010,16.953078879,4904,2010,1,0.38
001440,20111231,2011,18.225543585,4904,2011,1,0.4
001440,20121231,2012,16.091340506,4904,2012,1,0.5
001440,20131231,2013,36.479385013,4904,2013,1,0.6
001440,20141231,2014,33.111914355,4904,2014,1,0.48
001440,20161231,2016,-18.35524279,4904,2016,1,0.67
001440,20171231,2017,-20.42241938,4904,2017,1,0.85
001440,20181231,2018,-29.19321754,4904,2018,1,0.72
001440,20191231,2019,-26.88062467,4904,2019,1,0.6
001449,20081231,2008,42.955712985,4977,2008,1,0.98
001449,20091231,2009,6.201184619,4977,2009,1,1.18
001449,20101231,2010,7.57638382,4977,2010,1,1.33
001449,20111231,2011,8.7896320039,4977,2011,1,1.48
001449,20131231,2013,16.840928847,4977,2013,1,1.4
001449,20141231,2014,8.9556159681,4977,2014,1,1.29
001449,20161231,2016,-7.318720472,4977,2016,1,1.46
001449,20171231,2017,0.8954941076,4977,2017,1,1.63
001449,20181231,2018,5.2518462434,4977,2018,1,1.02
001449,20191231,2019,1.7558050134,4977,2019,1,1.03
001562,20100430,2009,18.347114927,713425,2009,1,0.06
001562,20110430,2010,19.828322298,713425,2010,1,0.11
001562,20120430,2011,12.610231157,713425,2011,1,0.14
001562,20130430,2012,21.522595875,713425,2012,1,0.12
001562,20140430,2013,26.446992176,713425,2013,1,0.1
001562,20150430,2014,14.225424798,713425,2014,1,0.1
001562,20160430,2015,14.560049457,713425,2015,1,0.11
001562,20170430,2016,10.970479235,713425,2016,1,0.09
001562,20180430,2017,6.530953187,713425,2017,1,0.06
001562,20190430,2018,4.5136125501,713425,2018,1,0.09
001602,20081231,2008,107.00684725,318154,2008,1,1.06
001602,20091231,2009,67.209853322,318154,2009,1,1.05
001602,20101231,2010,50.123328779,318154,2010,1,1.17
